date,comment,surge_level
2025年04月18日 02:22,10時半〜12時までで30〜40杯取れました。,多い
2025年04月18日 02:05,魚津、2時間粘って2つ。,少ない
2025年04月18日 01:04,9時半頃から12時まで 60匹獲れた,不明
2025年04月18日 00:58,あまりにも🦑が少ないので海に浸かっているのが、寒くて帰ってきました。今回は9🦑で終了です😿,不明
2025年04月18日 00:51,"岩瀬浜20人くらいの人
23時から24時まで20匹とれました。
良かったです^_^",不明
2025年04月17日 22:25,👇️こんなのがしたいのかな〜？,不明
2025年04月17日 22:08,秘密のケンミンショーみました　富山のホタルイカ炙って食べたくなりました　来週またホタルイカ採りに行きます,不明
2025年04月17日 20:54,"4/11㈮深夜に八重津浜に行きました。
数人の方が海の中を歩いていました。
30分ほど渚を歩いてみましたが、全くホタルイカの姿は見つけられませんでした。
初心者の勉強不足なのでしょう。
堤防で釣りをしている方に話しかけたら、今日のような日にどうして歩いているのかと不思議に思っていました、とのことでした。まずは新月を狙った方がいいとのこと。
また行ける機会があれば、と思います。神秘的な光を見たいです。",不明
2025年04月17日 01:20,岩瀬浜濁りなく、23時から24時までホタルイカ7匹、ふぐ6匹網で掬いました。人は2人だけでした。,不明
2025年04月17日 01:08,11時に着いて１時間だけ🦑🦑いましたが、直ぐ消え去りました。朝まだ来るかは分かりませんが帰ります。😸90杯でした✨,不明
2025年04月15日 22:31,人も🦑も少なし😭,不明
2025年04月14日 21:16,人なし、イカなし、波少しあり、濁り少しあり。昨日より波気ありますが立ち込めないほどではないです。今年は昨日今日しか日程が合わないので無理してきてみましたが、出会えないかも。少し雨が落ちてきました。,不明
2025年04月14日 00:23,"時間が経った情報で申し訳ないが
4/12  21時位で場所は魚津補助港南の浜にて掬いました
港内には姿無しでした
1〜2時間で22匹、周りのひとも
同じ位、道具の良い人や
ベテランさんは50以上の人も",不明
2025年04月13日 01:17,"1:15
ゼロ

採れる日はこの時間帯でも採れますか？",不明
2025年04月13日 00:03,人少なめイカ3匹,不明
2025年04月12日 23:13,人少々イカ無し,不明
2025年04月12日 05:41,3時半から約1時間、久々に腰まで海に浸かりホタルイカ掬いを堪能できました。余り期待していませんでしたがこれ位が一番、掬うのには楽しいデス😸,不明
2025年04月12日 04:09,人もイカもおらぬ。,不明
2025年04月12日 03:19,"どちらもイカなし
岩瀬で打ち上げられたイカを1匹だけ見つけました

諦めて別日にトライします",不明
